identificador,titulo,municipio_estado,modalidade,modalidade_id,orgao,site_original
TCE-CE-166521,00.001/2023-TP,"Chaval [CE]","Sem modalidade definida",0,CHAVAL,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227663/licit/166521
TCE-CE-166179,00.008/2023-SRP,"Chaval [CE]","Sem modalidade definida",0,CHAVAL,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227209/licit/166179
TCE-CE-166360,00.008/2023-SRP,"Apuiarés [CE]","Sem modalidade definida",0,APUIARES,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227446/licit/166360
TCE-CE-166180,00.009/2023-SRP,"Chaval [CE]","Sem modalidade definida",0,CHAVAL,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227210/licit/166180
TCE-CE-166592,001/2023/SMS-TP,"Cariré [CE]","Sem modalidade definida",0,CARIRE,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227744/licit/166592
TCE-CE-165841,001/2023SME-RDC,"Mombaça [CE]","Sem modalidade definida",0,MOMBACA,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226784/licit/165841
CE-165572,0012140123-TP,"Quixeramobim [CE]","Sem modalidade definida",0,"Prefeitura de QUIXERAMOBIM (CE)",https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/226429/licit/165572
TCE-CE-166029,0012190123-PERP,"Quixeramobim [CE]","Sem modalidade definida",0,QUIXERAMOBIM,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227026/licit/166029
TCE-CE-166288,0012260123-PERP,"Quixeramobim [CE]","Sem modalidade definida",0,QUIXERAMOBIM,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227348/licit/166288
TCE-CE-166253,0012260223-PE,"Quixeramobim [CE]","Sem modalidade definida",0,QUIXERAMOBIM,https://municipios-licitacoes.tce.ce.gov.br/index.php/licitacao/detalhes/proc/227303/licit/166253
